"","matching_names_BL_V7","matching_names_jetz"
"1","Casuarius casuarius","Casuarius casuarius"
"2","Casuarius bennetti","Casuarius bennetti"
"3","Casuarius unappendiculatus","Casuarius unappendiculatus"
"4","Dromaius novaehollandiae","Dromaius novaehollandiae"
"5","Alectura lathami","Alectura lathami"
"6","Aepypodius arfakianus","Aepypodius arfakianus"
"7","Talegalla cuvieri","Talegalla cuvieri"
"8","Talegalla fuscirostris","Talegalla fuscirostris"
"9","Talegalla jobiensis","Talegalla jobiensis"
"10","Macrocephalon maleo","Macrocephalon maleo"
"11","Megapodius cumingii","Megapodius cumingii"
"12","Megapodius reinwardt","Megapodius reinwardt"
"13","Megapodius freycinet","Megapodius freycinet"
"14","Megapodius decollatus","Megapodius affinis"
"15","Megapodius eremita","Megapodius eremita"
"16","Eulipoa wallacei","Eulipoa wallacei"
"17","Francolinus pintadeanus","Francolinus pintadeanus"
"18","Rhizothera longirostris","Rhizothera longirostris"
"19","Melanoperdix niger","Melanoperdix niger"
"20","Coturnix pectoralis","Coturnix pectoralis"
"21","Coturnix coromandelica","Coturnix coromandelica"
"22","Synoicus ypsilophorus","Coturnix ypsilophora"
"23","Synoicus chinensis","Coturnix chinensis"
"24","Anurophasis monorthonyx","Anurophasis monorthonyx"
"25","Arborophila rufogularis","Arborophila rufogularis"
"26","Arborophila atrogularis","Arborophila atrogularis"
"27","Arborophila brunneopectus","Arborophila brunneopectus"
"28","Arborophila orientalis","Arborophila orientalis"
"29","Arborophila javanica","Arborophila javanica"
"30","Arborophila hyperythra","Arborophila hyperythra"
"31","Arborophila davidi","Arborophila davidi"
"32","Arborophila cambodiana","Arborophila cambodiana"
"33","Arborophila rubrirostris","Arborophila rubrirostris"
"34","Arborophila ardens","Arborophila ardens"
"35","Arborophila chloropus","Arborophila chloropus"
"36","Arborophila charltonii","Arborophila charltonii"
"37","Caloperdix oculeus","Caloperdix oculeus"
"38","Haematortyx sanguiniceps","Haematortyx sanguiniceps"
"39","Rollulus rouloul","Rollulus rouloul"
"40","Bambusicola fytchii","Bambusicola fytchii"
"41","Gallus gallus","Gallus gallus"
"42","Gallus varius","Gallus varius"
"43","Lophura leucomelanos","Lophura leucomelanos"
"44","Lophura nycthemera","Lophura nycthemera"
"45","Lophura edwardsi","Lophura edwardsi"
"46","Lophura inornata","Lophura inornata"
"47","Lophura erythrophthalma","Lophura erythrophthalma"
"48","Lophura ignita","Lophura ignita"
"49","Lophura diardi","Lophura diardi"
"50","Lophura bulweri","Lophura bulweri"
"51","Syrmaticus humiae","Syrmaticus humiae"
"52","Polyplectron chalcurum","Polyplectron chalcurum"
"53","Polyplectron inopinatum","Polyplectron inopinatum"
"54","Polyplectron germaini","Polyplectron germaini"
"55","Polyplectron bicalcaratum","Polyplectron bicalcaratum"
"56","Polyplectron malacense","Polyplectron malacense"
"57","Polyplectron schleiermacheri","Polyplectron schleiermacheri"
"58","Polyplectron napoleonis","Polyplectron napoleonis"
"59","Rheinardia ocellata","Rheinardia ocellata"
"60","Argusianus argus","Argusianus argus"
"61","Pavo muticus","Pavo muticus"
"62","Anseranas semipalmata","Anseranas semipalmata"
"63","Dendrocygna guttata","Dendrocygna guttata"
"64","Dendrocygna eytoni","Dendrocygna eytoni"
"65","Dendrocygna bicolor","Dendrocygna bicolor"
"66","Dendrocygna arcuata","Dendrocygna arcuata"
"67","Dendrocygna javanica","Dendrocygna javanica"
"68","Stictonetta naevosa","Stictonetta naevosa"
"69","Cygnus atratus","Cygnus atratus"
"70","Radjah radjah","Tadorna radjah"
"71","Asarcornis scutulata","Cairina scutulata"
"72","Sarkidiornis melanotos","Sarkidiornis melanotos"
"73","Nettapus pulchellus","Nettapus pulchellus"
"74","Nettapus coromandelianus","Nettapus coromandelianus"
"75","Chenonetta jubata","Chenonetta jubata"
"76","Salvadorina waigiuensis","Salvadorina waigiuensis"
"77","Anas poecilorhyncha","Anas poecilorhyncha"
"78","Anas luzonica","Anas luzonica"
"79","Anas superciliosa","Anas superciliosa"
"80","Spatula rhynchotis","Anas rhynchotis"
"81","Anas gibberifrons","Anas gibberifrons"
"82","Anas gracilis","Anas gracilis"
"83","Anas castanea","Anas castanea"
"84","Aythya australis","Aythya australis"
"85","Turnix sylvaticus","Turnix sylvaticus"
"86","Turnix maculosus","Turnix maculosus"
"87","Turnix tanki","Turnix tanki"
"88","Turnix ocellatus","Turnix ocellatus"
"89","Turnix suscitator","Turnix suscitator"
"90","Turnix castanotus","Turnix castanotus"
"91","Turnix varius","Turnix varius"
"92","Turnix worcesteri","Turnix worcesteri"
"93","Turnix everetti","Turnix everetti"
"94","Turnix pyrrhothorax","Turnix pyrrhothorax"
"95","Turnix velox","Turnix velox"
"96","Indicator archipelagicus","Indicator archipelagicus"
"97","Picumnus innominatus","Picumnus innominatus"
"98","Sasia abnormis","Sasia abnormis"
"99","Sasia ochracea","Sasia ochracea"
"100","Picoides temminckii","Dendrocopos temminckii"
"101","Picoides maculatus","Dendrocopos maculatus"
"102","Picoides moluccensis","Dendrocopos moluccensis"
"103","Picoides canicapillus","Dendrocopos canicapillus"
"104","Dendrocopos macei","Dendrocopos macei"
"105","Dendrocopos atratus","Dendrocopos atratus"
"106","Leiopicus mahrattensis","Dendrocopos mahrattensis"
"107","Dendrocopos hyperythrus","Dendrocopos hyperythrus"
"108","Dendrocopos major","Dendrocopos major"
"109","Micropternus brachyurus","Celeus brachyurus"
"110","Dryocopus javensis","Dryocopus javensis"
"111","Chrysophlegma miniaceum","Picus mineaceus"
"112","Picus chlorolophus","Picus chlorolophus"
"113","Picus puniceus","Picus puniceus"
"114","Chrysophlegma flavinucha","Picus flavinucha"
"115","Picus viridanus","Picus viridanus"
"116","Picus vittatus","Picus vittatus"
"117","Picus xanthopygaeus","Picus xanthopygaeus"
"118","Picus rabieri","Picus rabieri"
"119","Picus erythropygius","Picus erythropygius"
"120","Dinopium rafflesii","Dinopium rafflesii"
"121","Dinopium shorii","Dinopium shorii"
"122","Dinopium javanense","Dinopium javanense"
"123","Chrysocolaptes lucidus","Chrysocolaptes lucidus"
"124","Gecinulus grantia","Gecinulus grantia"
"125","Gecinulus viridis","Gecinulus viridis"
"126","Blythipicus rubiginosus","Blythipicus rubiginosus"
"127","Blythipicus pyrrhotis","Blythipicus pyrrhotis"
"128","Chrysocolaptes validus","Reinwardtipicus validus"
"129","Meiglyptes tristis","Meiglyptes tristis"
"130","Meiglyptes jugularis","Meiglyptes jugularis"
"131","Meiglyptes tukki","Meiglyptes tukki"
"132","Hemicircus concretus","Hemicircus concretus"
"133","Hemicircus canente","Hemicircus canente"
"134","Mulleripicus fulvus","Mulleripicus fulvus"
"135","Mulleripicus funebris","Mulleripicus funebris"
"136","Mulleripicus pulverulentus","Mulleripicus pulverulentus"
"137","Psilopogon pyrolophus","Psilopogon pyrolophus"
"138","Psilopogon virens","Megalaima virens"
"139","Psilopogon lagrandieri","Megalaima lagrandieri"
"140","Psilopogon lineatus","Megalaima lineata"
"141","Psilopogon faiostrictus","Megalaima faiostricta"
"142","Psilopogon corvinus","Megalaima corvina"
"143","Psilopogon chrysopogon","Megalaima chrysopogon"
"144","Psilopogon rafflesii","Megalaima rafflesii"
"145","Psilopogon mystacophanos","Megalaima mystacophanos"
"146","Psilopogon javensis","Megalaima javensis"
"147","Psilopogon monticola","Megalaima monticola"
"148","Psilopogon incognitus","Megalaima incognita"
"149","Psilopogon henricii","Megalaima henricii"
"150","Psilopogon armillaris","Megalaima armillaris"
"151","Psilopogon pulcherrimus","Megalaima pulcherrima"
"152","Psilopogon eximius","Megalaima eximia"
"153","Psilopogon haemacephalus","Megalaima haemacephala"
"154","Caloramphus fuliginosus","Calorhamphus fuliginosus"
"155","Anthracoceros albirostris","Anthracoceros albirostris"
"156","Anthracoceros malayanus","Anthracoceros malayanus"
"157","Anthracoceros marchei","Anthracoceros marchei"
"158","Buceros rhinoceros","Buceros rhinoceros"
"159","Buceros bicornis","Buceros bicornis"
"160","Buceros hydrocorax","Buceros hydrocorax"
"161","Rhinoplax vigil","Rhinoplax vigil"
"162","Anorrhinus tickelli","Anorrhinus tickelli"
"163","Anorrhinus galeritus","Anorrhinus galeritus"
"164","Penelopides manillae","Penelopides manillae"
"165","Penelopides mindorensis","Penelopides mindorensis"
"166","Penelopides panini","Penelopides panini"
"167","Penelopides affinis","Penelopides affinis"
"168","Rhabdotorrhinus exarhatus","Penelopides exarhatus"
"169","Berenicornis comatus","Aceros comatus"
"170","Aceros nipalensis","Aceros nipalensis"
"171","Rhabdotorrhinus corrugatus","Aceros corrugatus"
"172","Rhabdotorrhinus waldeni","Aceros waldeni"
"173","Rhabdotorrhinus leucocephalus","Aceros leucocephalus"
"174","Rhyticeros cassidix","Aceros cassidix"
"175","Rhyticeros undulatus","Aceros undulatus"
"176","Rhyticeros everetti","Aceros everetti"
"177","Rhyticeros subruficollis","Aceros subruficollis"
"178","Rhyticeros plicatus","Aceros plicatus"
"179","Upupa epops","Upupa epops"
"180","Apalharpactes reinwardtii","Apalharpactes reinwardtii"
"181","Harpactes kasumba","Harpactes kasumba"
"182","Harpactes diardii","Harpactes diardii"
"183","Harpactes ardens","Harpactes ardens"
"184","Harpactes whiteheadi","Harpactes whiteheadi"
"185","Harpactes orrhophaeus","Harpactes orrhophaeus"
"186","Harpactes duvaucelii","Harpactes duvaucelii"
"187","Harpactes oreskios","Harpactes oreskios"
"188","Harpactes erythrocephalus","Harpactes erythrocephalus"
"189","Coracias temminckii","Coracias temminckii"
"190","Eurystomus orientalis","Eurystomus orientalis"
"191","Eurystomus azureus","Eurystomus azureus"
"192","Alcedo hercules","Alcedo hercules"
"193","Alcedo atthis","Alcedo atthis"
